appid,name,developer,publisher,release_date,release_year,genres,categories,steamspy_tags,platforms,positive_ratings,negative_ratings,total_ratings,positive_ratio,well_received,reception_tier,owners,owners_avg,pred_positive_ratio,pred_well_received_proba,pred_owners,pred_reception_tier,reception_gap,owners_gap_log,price,price_log,is_free,achievements,achievements_log,achievements_per_dollar,required_age,num_genres,dev_avg_rating,dev_game_count,pub_avg_rating,pub_game_count,release_month,release_year_filled,name_len,name_word_count,platform_windows,platform_mac,platform_linux,num_platforms,genre_Indie,genre_Action,genre_Casual,genre_Adventure,genre_Strategy,genre_Simulation,genre_RPG,genre_Early_Access,genre_Free_to_Play,genre_Sports,cat_multiplayer,cat_singleplayer,cat_coop,cat_online_multiplayer,cat_steam_achievements,cat_steam_trading_cards,cat_full_controller_support,cat_steam_cloud,tag_Indie,tag_Action,tag_Casual,tag_Adventure,tag_Strategy,tag_Simulation,tag_Early_Access,tag_RPG,tag_Free_to_Play,tag_Puzzle,tag_VR,tag_Sports,tag_Racing,tag_Platformer,tag_Nudity
960270,Dafen Oil Painting Village: An Immersive Reality,Jeremy Kirshbaum;Alexander Goldman,SixerVR,2018-11-15,2018,Casual;Free to Play;Indie;Simulation,Single-player,Free to Play;Indie;Casual,windows,5,4,9,0.5555555555555556,0,Average,0-20000,10000.0,0.7351604,0.52741486,16269.505,Great,-0.17960485484864974,-0.48666885543559246,0.0,0.0,1,0,0.0,0.0,0,4,0.7139077639746677,1,0.7139077639746677,1,11,2018,48,7,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
960280,Tank Bung,stariy8419,stariy8419,2018-10-26,2018,Action;Casual;Indie,Single-player,Action;Indie;Casual,windows,1,3,4,0.25,0,Poor,0-20000,10000.0,0.53298885,0.18760896,10447.396,Poor,-0.28298884630203247,-0.04376342941020184,0.79,0.5822156198526637,0,0,0.0,0.0,0,3,0.6555253105587624,11,0.6555253105587624,11,10,2018,9,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
960320,Ego Hearts,Ironic Title Studio,Ironic Title Studio,2019-02-01,2019,Free to Play;Indie,Single-player;Full controller support,Free to Play;Indie;Surreal,windows;mac,33,10,43,0.7674418604651163,1,Great,0-20000,10000.0,0.88116914,0.9070198,17102.441,Great,-0.1137272798737814,-0.5365946595737761,0.0,0.0,1,9,2.302585092994046,9.0,0,2,0.7139077639746677,1,0.7139077639746677,1,2,2019,10,2,1,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
960330,Dark Gnome,upjers,upjers,2019-03-18,2019,Action;Casual;Free to Play;Strategy,Single-player;Steam Achievements;In-App Purchases,Free to Play;Action;Casual,windows,21,15,36,0.5833333333333334,0,Average,20000-50000,35000.0,0.5759225,0.12258027,20783.37,Average,0.007410844167073605,0.5211753914114006,0.0,0.0,1,11,2.4849066497880004,11.0,0,4,0.6068093097102774,11,0.5771404205420182,14,3,2019,10,2,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
960340,YUNA: Sugar hearts and Love,PIxelssoftworks,PIxelssoftworks,2019-02-16,2019,Action;Adventure;Casual;Indie,Single-player;Steam Achievements,Action;Indie;Casual,windows,4,2,6,0.6666666666666666,0,Average,0-20000,10000.0,0.810654,0.7067369,9860.447,Great,-0.14398731787999475,0.014052122347610663,4.79,1.7561322915849038,0,35,3.58351893845611,6.0449050086355784,0,4,0.7139077639746677,1,0.7139077639746677,1,2,2019,27,5,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
960360,Yuzi Lims: Hentai,Snkl Studio,Snkl Studio,2018-10-30,2018,Casual;Indie,Single-player;Steam Achievements,Indie;Casual;Nudity,windows,2,1,3,0.6666666666666666,0,Average,0-20000,10000.0,0.6917503,0.5241664,10316.327,Average,-0.025083621342976925,-0.031139642483932306,0.79,0.5822156198526637,0,20,3.044522437723423,11.1731843575419,0,2,0.6731514437862403,19,0.6731514437862403,19,10,2018,17,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
960370,Sky Flight,Garnudo Games,Garnudo Games,2018-10-25,2018,Casual;Indie;Racing;Simulation,Single-player,Indie;Casual;Simulation,windows,3,2,5,0.6,0,Average,20000-50000,35000.0,0.535931,0.25663388,9600.219,Average,0.06406900882720945,1.2934866020437248,0.79,0.5822156198526637,0,0,0.0,0.0,0,4,0.45976067107257557,22,0.45976067107257557,22,10,2018,10,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
960380,Light House Puzzle,Garnudo Games,Garnudo Games,2018-10-25,2018,Casual;Indie;Simulation,Single-player,Indie;Casual;Simulation,windows,3,1,4,0.75,1,Great,0-20000,10000.0,0.50919765,0.2800393,9709.125,Poor,0.2408023476600647,0.029515951388138006,0.79,0.5822156198526637,0,0,0.0,0.0,0,3,0.4549219613951561,22,0.4549219613951561,22,10,2018,18,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
960430,Flag couple🚩,Sly,SlyGames,2018-11-28,2018,Casual;Indie,Single-player;Steam Achievements,Indie;Casual,windows;mac;linux,1,1,2,0.5,0,Average,0-20000,10000.0,0.63142467,0.20044279,9394.853,Average,-0.1314246654510498,0.062416761629837225,3.98,1.6054298910365616,0,1,0.6931471805599453,0.2008032128514056,0,2,0.6449869056843472,26,0.6449869056843472,26,11,2018,12,2,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
960550,Distress: A Choice-Driven Sci-Fi Adventure,Light Machine,Light Machine,2018-11-06,2018,Adventure;Casual;Indie;RPG,Single-player,Adventure;Indie;Casual,windows;mac;linux,2,0,2,1.0,1,Great,0-20000,10000.0,0.75617176,0.6294201,9545.819,Great,0.24382823705673218,0.04647704910542316,4.79,1.7561322915849038,0,0,0.0,0.0,0,4,0.7139077639746677,1,0.7139077639746677,1,11,2018,42,5,1,1,1,3,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
